Scenario,Replication,Object Type,Object Name,Data Source,Category,Data Item,Statistic Type,Value
Scenario1,2,Model,Model,Missed_Organics,UserSpecified,TallyValue,Minimum,1
Scenario1,3,Model,Model,Missed_Organics,UserSpecified,TallyValue,Minimum,1
Scenario1,4,Model,Model,Missed_Organics,UserSpecified,TallyValue,Minimum,1
Scenario1,5,Model,Model,Missed_Organics,UserSpecified,TallyValue,Minimum,1
Scenario1,6,Model,Model,Missed_Organics,UserSpecified,TallyValue,Minimum,NaN
Scenario1,7,Model,Model,Missed_Organics,UserSpecified,TallyValue,Minimum,1
Scenario1,8,Model,Model,Missed_Organics,UserSpecified,TallyValue,Minimum,1
Scenario1,9,Model,Model,Missed_Organics,UserSpecified,TallyValue,Minimum,1
Scenario1,10,Model,Model,Missed_Organics,UserSpecified,TallyValue,Minimum,1
Scenario1,1,Model,Model,Missed_Organics,UserSpecified,TallyValue,Observations,7
Scenario1,2,Model,Model,Missed_Organics,UserSpecified,TallyValue,Observations,2
Scenario1,3,Model,Model,Missed_Organics,UserSpecified,TallyValue,Observations,2
Scenario1,4,Model,Model,Missed_Organics,UserSpecified,TallyValue,Observations,3
Scenario1,5,Model,Model,Missed_Organics,UserSpecified,TallyValue,Observations,3
Scenario1,6,Model,Model,Missed_Organics,UserSpecified,TallyValue,Observations,0
Scenario1,7,Model,Model,Missed_Organics,UserSpecified,TallyValue,Observations,2
Scenario1,8,Model,Model,Missed_Organics,UserSpecified,TallyValue,Observations,4
Scenario1,9,Model,Model,Missed_Organics,UserSpecified,TallyValue,Observations,3
Scenario1,10,Model,Model,Missed_Organics,UserSpecified,TallyValue,Observations,1
Scenario1,1,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,2,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,3,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,4,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,5,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,6,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,7,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,8,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Average,1
Scenario1,9,Model,Model,Missed_Recycle,UserSpecified,TallyValue,Average,1
